"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","cDC1 CLEC9A","cDC2 CD1C","cDC3 LAMP3","Macrophage M1","Macrophage M2","Macrophage other","NK","Plasma","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"3","ADAT2","ADAT2","2.04","1.65","0.39","4","1.02","0.68","0.76","1.24","0.00","0.69","0.00","0.18","0.61","0.23","1.59","0.61","1.28","1.45","1.38","1.56","2.17","1.15","0.39","1.65","0.00","0.00","2.04"
"4","ARHGEF12","ARHGEF12","3.32","3.27","0.0499999999999998","28","2.35","1.86","1.57","2.02","2.55","1.72","0.00","2.85","2.67","2.50","3.01","3.02","2.24","2.81","2.91","2.79","3.32","2.76","2.75","3.27","2.57","0.00","4.12"
"5","ASXL1","ASXL1","3.29","3.2","0.0899999999999999","11","3.20","2.98","3.05","2.85","2.07","1.64","0.00","1.95","2.45","1.81","2.56","3.18","2.93","2.63","2.76","2.96","3.29","2.92","3.05","2.80","2.46","2.49","3.46"
"6","CCDC77","CCDC77","1.47","1.43","0.04","29","0.73","1.39","1.43","1.14","0.88","1.11","0.00","0.81","1.34","0.87","1.31","1.13","1.21","0.92","1.42","1.37","1.47","1.33","0.99","0.94","0.94","0.00","1.49"
"7","CCND2","CCND2","6.39","6.28","0.109999999999999","9","4.42","4.60","4.57","4.58","1.62","4.13","0.00","3.47","3.06","3.35","6.12","5.81","5.64","5.51","5.83","5.84","6.39","5.61","5.33","5.91","6.28","5.07","6.62"
"8","CENPO","CENPO","0.99","0.86","0.13","7","0.63","0.32","0.33","0.79","0.49","0.86","0.00","0.43","0.26","0.41","0.68","0.79","0.59","0.73","0.52","0.58","1.11","0.81","0.62","0.80","0.00","0.00","0.99"
"9","CSF1","CSF1","4.55","4","0.55","2","1.14","0.55","0.54","1.16","0.00","0.47","0.00","0.99","1.28","0.27","1.62","0.54","2.37","3.56","2.71","3.86","4.55","2.93","2.69","4.00","3.13","0.00","4.59"
"10","CTLA4","CTLA4","4.22","5.76","-1.54","12295","0.67","0.75","0.29","0.82","0.87","0.82","3.42","1.00","0.60","0.08","1.19","0.91","2.62","2.74","1.62","3.88","4.22","3.45","5.25","5.76","3.97","3.98","5.86"
"11","ESPL1","ESPL1","0.66","0.62","0.04","30","0.60","0.14","0.00","0.00","0.45","0.09","0.00","0.41","0.03","0.00","0.17","0.36","0.13","0.28","0.11","0.62","0.85","0.31","0.48","0.49","0.27","0.00","0.66"
"12","GAP43","GAP43","0.17","0.12","0.05","26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.05","0.02","0.09","0.00","0.00","0.06","0.17","0.12","0.00","0.10","0.00","0.00","0.18"
"13","GINS3","GINS3","1.14","1.1","0.0399999999999998","32","0.76","0.69","0.71","0.18","0.76","0.65","0.00","0.65","0.50","0.72","0.67","0.90","0.39","0.88","0.64","1.10","1.29","0.55","0.35","0.91","0.00","0.91","1.14"
"14","GRK7","GRK7","0.06","0","0.06","23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.00","0.00","0.00","0.00","0.00","0.12"
"15","HIST1H2AJ","HIST1H2AJ","2.31","2.19","0.12","8","1.09","0.28","0.51","0.46","1.87","0.51","0.00","1.37","0.10","0.62","1.13","1.43","0.52","1.00","0.40","2.19","2.55","1.57","1.50","1.89","1.85","2.19","2.31"
"16","HIST1H2AM","HIST1H2AM","2.98","2.92","0.0600000000000001","21","2.27","1.28","1.63","1.44","2.33","1.37","2.92","1.34","1.26","0.90","2.17","2.14","1.22","2.27","1.44","2.87","2.99","2.62","1.46","2.61","2.34","1.96","2.98"
"17","IL32","IL32","7.49","7.43","0.0600000000000005","20","2.62","2.77","1.76","2.10","1.62","1.65","4.19","3.31","1.49","1.37","5.64","2.42","6.81","7.30","7.26","7.03","7.49","6.94","6.94","7.43","7.08","6.70","8.47"
"18","KIF24","KIF24","0.33","0.29","0.04","31","0.02","0.10","0.17","0.00","0.00","0.04","0.00","0.13","0.16","0.00","0.07","0.16","0.20","0.00","0.27","0.12","0.33","0.09","0.29","0.06","0.00","0.00","0.47"
"19","LEMD1","LEMD1","0.21","0.03","0.18","5","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.23","0.00","0.00","0.00","0.00","0.00","0.21"
"20","MCL1","MCL1","6.23","6.16","0.0700000000000003","15","5.46","4.90","5.12","5.34","5.79","5.77","3.99","5.10","5.23","4.51","5.43","6.16","5.54","5.95","5.67","6.10","6.23","6.02","5.53","6.03","5.94","5.50","6.38"
"21","MTMR2","MTMR2","2.4","2.32","0.0800000000000001","13","1.18","1.74","1.78","1.60","1.22","1.45","0.00","1.22","1.28","1.20","2.32","0.96","1.66","1.96","2.07","2.32","2.45","1.77","2.25","2.18","2.27","0.88","2.40"
"22","MUC12","MUC12","0.31","0.23","0.08","14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.08","0.15","0.04","0.18","0.00","0.23","0.14","0.36","0.06","0.00","0.20","0.00","0.00","0.31"
"23","NCAPG","NCAPG","2.03","1.96","0.0699999999999998","19","1.80","0.15","0.12","0.51","1.66","0.45","0.00","1.96","0.39","0.30","1.62","1.11","0.65","0.40","0.71","1.94","2.25","1.18","1.04","1.50","1.21","1.45","2.03"
"24","PARP4","PARP4","3.74","3.69","0.0500000000000003","24","3.28","3.00","3.19","3.19","2.96","3.41","2.86","3.48","3.77","3.16","3.69","2.89","3.34","3.24","3.29","3.68","3.74","3.33","3.33","3.44","3.45","2.75","3.81"
"25","PDCD1","PDCD1","3.93","5.97","-2.04","13577","1.89","0.77","0.10","0.29","0.70","0.48","0.00","0.87","0.11","0.36","0.83","0.72","2.76","3.38","2.57","4.66","5.05","3.65","5.97","5.60","4.81","4.76","3.93"
"26","PHLDA1","PHLDA1","4.59","4.02","0.57","1","1.06","0.77","0.44","0.88","1.15","1.05","0.00","1.66","2.99","2.48","2.32","0.51","2.25","3.46","2.79","3.81","4.59","2.95","2.67","3.82","4.02","3.33","4.62"
"27","PTHLH","PTHLH","0.17","0.11","0.06","22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.00","0.00","0.05","0.00","0.00","0.00","0.03","0.18","0.00","0.00","0.11","0.00","0.00","0.17"
"28","RAC2","RAC2","1.76","1.71","0.05","25","0.88","1.04","1.61","1.45","0.36","0.60","0.00","0.07","0.23","0.17","1.59","1.35","1.71","1.24","1.36","1.43","1.79","1.69","1.49","1.61","0.00","0.98","1.76"
"29","RFC3","RFC3","1.65","1.55","0.0999999999999999","10","1.18","1.18","1.12","0.96","0.70","1.09","0.00","0.87","0.67","0.49","1.22","1.40","0.91","1.47","1.23","1.12","1.65","0.98","1.55","1.17","1.30","0.00","1.81"
"30","SIT1","SIT1","4.27","4.1","0.17","6","3.24","2.79","3.68","3.40","0.69","0.34","0.00","1.77","0.64","0.76","1.15","1.38","3.90","3.93","3.37","4.10","4.27","3.98","3.88","3.95","3.39","3.46","4.35"
"31","SLBP","SLBP","3.52","3.43","0.0899999999999999","12","3.43","2.87","3.05","2.97","2.52","2.43","0.00","2.97","2.98","2.63","3.00","2.86","2.91","3.33","3.03","3.13","3.55","3.38","2.92","3.26","3.08","3.33","3.52"
"32","SLCO4A1","SLCO4A1","1.11","1.04","0.0700000000000001","16","0.23","0.35","0.57","0.23","0.90","0.32","0.00","0.16","0.66","0.16","0.26","1.04","0.23","0.27","0.34","0.41","1.11","0.53","0.43","0.87","0.00","0.00","1.51"
"33","SNCAIP","SNCAIP","0.07","0","0.07","17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.11","0.00","0.00","0.00","0.00","0.00","0.07"
"34","STMN4","STMN4","0.07","0","0.07","18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.00","0.00","0.00","0.00","0.00","0.17"
"35","UBASH3B","UBASH3B","3.27","2.86","0.41","3","1.59","1.29","0.24","0.20","2.81","2.23","0.00","1.84","2.26","2.52","2.86","0.62","2.13","2.41","2.19","2.48","3.27","2.30","1.78","2.58","0.49","1.42","3.43"
"36","ZC2HC1B","ZC2HC1B","0.05","0","0.05","27","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.00","0.00","0.00","0.00","0.00","0.05"
