"","gene","X","min_2","max_other","target_score","rank","B cell exhausted","B cell naive","B cell non-switched memory","B cell switched memory","cDC1 CLEC9A","cDC2 CD1C","cDC3 LAMP3","Macrophage M1","Macrophage M2","Macrophage other","Mast","NK","Plasma","T CD4 naive","T CD8 central memory","T CD8 effector","T CD8 effector memory","T CD8 exhausted","T CD8 naive","Tfh","Th1","Th17","Th2","Treg"
"3","ADAT1","ADAT1","2.4","2.36","0.04","25","1.64","0.00","1.24","1.72","1.00","1.59","1.36","1.77","1.09","1.41","2.09","2.12","1.22","2.17","1.89","1.99","2.02","2.62","2.34","1.22","1.80","2.36","0.85","2.40"
"4","ARHGAP4","ARHGAP4","3.71","3.69","0.02","31","2.49","3.36","3.60","2.97","2.84","3.08","0.81","3.28","2.90","3.31","3.36","3.18","2.89","3.67","3.55","2.83","3.11","3.71","1.15","3.42","3.61","3.69","2.98","3.93"
"5","ARHGEF4","ARHGEF4","0.11","0.09","0.02","33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.01","0.00","0.00","0.05","0.02","0.00","0.00","0.00","0.06","0.11","0.00","0.00","0.09","0.00","0.00","0.31"
"6","ARSH","ARSH","0.06","0.03","0.03","27","0.00","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.00","0.00","0.00","0.00","0.00","0.18"
"7","CD7","CD7","3.54","3.49","0.0499999999999998","24","0.12","0.00","0.05","0.01","0.02","0.03","0.00","0.05","0.03","0.05","2.88","3.49","0.08","2.55","3.23","2.29","2.76","3.54","0.21","3.10","2.78","2.50","0.00","4.02"
"8","CHAT","CHAT","0.1","0.03","0.07","19","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.02","0.10","0.00","0.00","0.00","0.00","0.00","0.13"
"9","CTLA4","CTLA4","5.12","6.26","-1.14","8713","0.08","0.05","0.07","0.42","0.04","1.64","1.03","0.78","0.60","0.23","0.31","0.14","0.37","4.15","2.68","0.00","3.91","5.12","0.00","6.26","5.55","5.38","5.24","7.23"
"10","CXCR6","CXCR6","6.76","6.23","0.529999999999999","4","0.29","0.32","0.13","0.10","0.11","0.09","0.03","0.23","0.13","0.27","4.59","4.26","0.65","5.71","2.90","5.10","6.09","6.80","0.66","2.42","5.81","6.23","0.12","6.76"
"11","DUSP10","DUSP10","4.64","4.61","0.0299999999999994","30","3.03","1.71","3.71","4.59","3.47","3.14","3.58","2.66","2.61","2.48","4.61","4.23","0.84","4.25","1.77","4.45","4.23","4.64","0.21","3.72","4.11","2.83","2.66","5.05"
"12","EEF1A2","EEF1A2","0.02","0","0.02","35","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.00","0.00","0.00","0.00","0.05"
"13","EFCAB6","EFCAB6","0.15","0.04","0.11","16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.03","0.00","0.00","0.00","0.04","0.21","0.00","0.00","0.00","0.00","0.00","0.15"
"14","FNDC7","FNDC7","0.33","0.11","0.22","7","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.11","0.09","0.00","0.00","0.00","0.00","0.02","0.52","0.00","0.00","0.00","0.00","0.00","0.33"
"15","GCNT1","GCNT1","1.43","1.28","0.15","11","1.21","0.00","0.01","0.01","0.52","0.76","1.28","0.91","1.04","0.99","0.20","0.95","0.12","0.50","0.02","1.18","0.74","1.43","0.00","0.41","0.86","0.04","0.00","2.67"
"16","HLA.E","HLA.E","8.82","8.73","0.0899999999999999","17","8.18","8.51","8.14","8.55","6.47","6.71","6.95","7.36","7.30","6.92","8.26","8.73","7.55","8.73","8.37","8.31","8.45","8.82","4.71","8.60","8.64","8.62","8.71","8.84"
"17","INSRR","INSRR","0.09","0.04","0.05","23","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.04","0.00","0.00","0.00","0.00","0.00","0.09","0.00","0.00","0.01","0.00","0.00","0.48"
"18","JAKMIP1","JAKMIP1","2.93","2.26","0.67","2","1.09","0.00","0.00","0.00","0.00","0.02","0.00","0.01","0.01","0.08","0.01","2.03","0.30","1.51","0.00","0.51","2.26","3.12","0.00","2.06","2.02","0.02","0.00","2.93"
"19","LCE3E","LCE3E","0.07","0","0.07","18","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.23","0.00","0.00","0.00","0.00","0.00","0.07"
"20","LRRTM4","LRRTM4","0.02","0","0.02","34","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.06","0.00","0.00","0.00","0.00","0.00","0.02"
"21","MED24","MED24","2.26","2.23","0.0299999999999998","29","0.32","2.09","1.92","1.88","0.56","0.86","1.47","1.51","0.75","0.66","1.64","2.23","1.73","1.97","0.63","0.28","1.83","2.26","0.00","1.85","1.67","2.04","0.00","2.40"
"22","NRG3","NRG3","0.03","0","0.03","28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.00","0.00","0.00","0.00","0.00","0.04"
"23","ORMDL3","ORMDL3","2.09","2.07","0.02","32","0.88","0.00","1.09","0.00","0.00","0.04","1.31","0.10","0.06","0.60","1.39","1.21","2.07","1.70","0.31","1.93","1.67","2.09","0.00","1.49","1.83","1.65","0.00","2.39"
"24","PDCD1","PDCD1","4.71","6.6","-1.89","13278","2.85","0.05","1.02","1.92","0.50","1.18","0.00","2.24","0.56","0.08","0.22","1.17","0.21","3.56","3.91","2.54","4.63","6.06","0.00","6.60","5.34","5.67","5.50","4.71"
"25","PGPEP1L","PGPEP1L","0.18","0.05","0.13","12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.00","0.05","0.00","0.00","0.00","0.00","0.01","0.18","0.00","0.00","0.00","0.00","0.00","0.26"
"26","PRKAR1B","PRKAR1B","1.52","1.46","0.0600000000000001","20","0.64","0.00","0.42","1.14","0.00","0.25","0.03","0.20","0.29","0.38","0.43","0.47","0.61","0.63","0.83","0.34","1.24","1.55","0.00","1.46","0.82","0.98","0.00","1.52"
"27","PTTG2","PTTG2","0.26","0.04","0.22","8","0.00","0.00","0.04","0.00","0.00","0.01","0.00","0.00","0.05","0.03","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.26","0.00","0.00","0.00","0.00","0.00","0.74"
"28","RPGRIP1L","RPGRIP1L","0.26","0.2","0.06","22","0.00","0.00","0.06","0.00","0.00","0.03","0.00","0.17","0.01","0.20","0.17","0.01","0.12","0.13","0.06","0.00","0.20","0.26","0.00","0.00","0.14","0.00","0.00","0.31"
"29","SALL4","SALL4","0.44","0.15","0.29","5","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.70","0.00","0.00","0.15","0.00","0.00","0.44"
"30","SLC25A44","SLC25A44","2.02","1.91","0.11","15","0.01","1.19","0.07","0.44","0.82","0.94","0.00","1.51","1.10","1.57","1.57","1.56","1.22","1.40","0.00","1.91","1.90","2.02","0.56","0.53","1.90","0.72","0.73","2.40"
"31","SLC27A2","SLC27A2","1.85","1.66","0.19","10","0.00","0.00","0.01","0.05","0.03","0.03","0.00","0.04","0.00","1.66","0.04","0.12","0.22","0.27","0.04","0.02","1.10","1.91","0.00","1.54","1.15","1.05","0.00","1.85"
"32","SP6","SP6","0.19","0.07","0.12","14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.19","0.00","0.00","0.00","0.00","0.00","0.25"
"33","TIGD4","TIGD4","0.27","0.15","0.12","13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.02","0.00","0.15","0.00","0.04","0.00","0.01","0.00","0.00","0.03","0.77","0.00","0.00","0.00","0.00","0.00","0.27"
"34","TNFRSF9","TNFRSF9","3.76","2.98","0.78","1","0.02","0.11","0.03","0.02","0.02","0.01","2.23","0.05","0.04","0.07","1.78","1.09","0.05","0.23","2.98","2.34","2.31","3.76","0.00","1.75","0.86","0.67","0.00","5.29"
"35","TNIP3","TNIP3","2.88","2.28","0.6","3","0.01","0.00","0.01","0.00","0.00","0.08","0.04","0.33","0.18","0.02","0.02","1.04","0.17","0.51","0.03","2.28","1.34","2.88","0.00","0.64","0.99","0.46","0.00","3.03"
"36","TNS4","TNS4","0.39","0.19","0.2","9","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.14","0.00","0.00","0.03","0.01","0.03","0.00","0.19","0.05","0.39","0.00","0.00","0.09","0.00","0.00","0.66"
"37","TP53AIP1","TP53AIP1","0.03","0.01","0.02","36","0.00","0.00","0.00","0.00","0.01","0.00","0.00","0.00","0.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.18","0.00","0.00","0.00","0.00","0.00","0.03"
"38","TPPP","TPPP","0.16","0.12","0.04","26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.10","0.04","0.00","0.00","0.07","0.12","0.00","0.00","0.06","0.16","0.00","0.11","0.02","0.01","0.00","0.17"
"39","WNT6","WNT6","0.31","0.02","0.29","6","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.01","0.00","0.01","0.02","0.00","0.00","0.00","0.00","0.31","0.00","0.00","0.00","0.00","0.00","0.89"
"40","XKR9","XKR9","0.15","0.09","0.06","21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.03","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.15","0.00","0.01","0.09","0.00","0.00","0.71"
